v1,v2,,,
Not Interested,Love that holiday Monday feeling even if I have to go to the dentists in an hour,,,
Interested,I am on the way to tirupur.,,,
Not Interested,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",,,
Interested,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.,,,
Interested,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow! ,,,
Not Interested,"Just dropped em off, omw back now",,,
More information,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",,,
Not Interested,Sitting in mu waiting for everyone to get out of my suite so I can take a shower,,,
Interested,Re your call; You didn't see my facebook huh?,,,
Not Interested,"G says you never answer your texts, confirm/deny",,,
Interested,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",,,
Not Interested,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,,,
Interested,Oh yah... We never cancel leh... Haha ,,,
Interested,We can go 4 e normal pilates after our intro...  ,,,
Not Interested,Ok... Let u noe when i leave my house.,,,
More information,"Oh yes, why is it like torture watching england?",,,
Not Interested,Wanna do some art?! :D,,,
Interested,Just hopeing that wasn‰Û÷t too pissed up to remember and has gone off to his sisters or something!,,,
Not Interested,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",,,
Interested,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",,,
Not Interested,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?",,,
Interested,Match started.india  &lt;#&gt;  for 2,,,
Interested,Once free call me sir.,,,
Not Interested,Hey do you want anything to buy:),,,
More information,"Hey babe, how's it going ? Did you ever figure out where your going for New Years ?",,,
Not Interested,K..k.:)congratulation ..,,,
Interested,G wants to know where the fuck you are,,,
Not Interested,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,,,
Interested,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.,,,
Not Interested,ÌÏ go home liao? Ask dad to pick me up at 6...,,,
Interested,Omg you can make a wedding chapel in frontierville? Why do they get all the good stuff?,,,
Interested,"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",,,
Not Interested,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.,,,
More information,Wrong phone! This phone! I answer this one but assume the other is people i don't well,,,
Not Interested,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill",,,
Interested,I'm already back home so no probably not,,,
Not Interested,Great News! Call FREEFONE 08006344447 to claim your guaranteed å£1000 CASH or å£2000 gift. Speak to a live operator NOW!,,,
Interested,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",,,
Not Interested,I am in bus on the way to calicut,,,
Interested,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night,,,
Interested,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx,,,
Not Interested,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402.",,,
More information,I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!,,,
Not Interested,U coming back 4 dinner rite? Dad ask me so i re confirm wif u...,,,
Interested,Doing my masters. When will you buy a bb cos i have for sale and how's bf,,,
Not Interested,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",,,
Interested,I'm vivek:)i got call from your number.,,,
Not Interested,Why didn't u call on your lunch?,,,
Interested,"What i mean was i left too early to check, cos i'm working a 9-6.",,,
Interested,I want  &lt;#&gt;  rs da:)do you have it?,,,
Not Interested,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND",,,
More information,Yup ok...,,,
Not Interested,I want to see your pretty pussy...,,,
Interested,Dear Voucher holder Have your next meal on us. Use the following link on your pc 2 enjoy a 2 4 1 dining experiencehttp://www.vouch4me.com/etlp/dining.asp,,,
Not Interested,"A few people are at the game, I'm at the mall with iouri and kaila",,,
Interested,URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only,,,
Not Interested,You can donate å£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. å£2.50 will be added to your next bill,,,
Interested,Future is not what we planned for tomorrow.....! it is the result of what we do today...! Do the best in present... enjoy the future.,,,
Interested,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time,,,
Not Interested,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,,,
More information,Hey come online! Use msn... We are all there,,,
Not Interested,I'm fine. Hope you are good. Do take care.,,,
Interested,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.,,,
Not Interested,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,,,
Interested,Yar... I tot u knew dis would happen long ago already.,,,
Not Interested,You are gorgeous! keep those pix cumming :) thank you!,,,
Interested,"A boy was late 2 home. His father: \POWER OF FRNDSHIP\""""",,,
Interested,JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,,,
Not Interested,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),,,
More information,So what u doing today?,,,
Not Interested,I said its okay. Sorry,,,
Interested,Slept? I thinkThis time ( &lt;#&gt;  pm) is not dangerous,,,
Not Interested,Networking job is there.,,,
Interested,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,,,
Not Interested,Dont let studying stress you out. L8r.,,,
Interested,That's y u haf 2 keep me busy...,,,
Interested,No rushing. I'm not working. I'm in school so if we rush we go hungry.,,,
Not Interested,Which channel:-):-):):-).,,,
More information,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,,,
Not Interested,Phony å£350 award - Todays Voda numbers ending XXXX are selected to receive a å£350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,,,
Interested,"We made it! Eta at taunton is 12:30 as planned, hope that‰Û÷s still okday?! Good to see you! :-xx",,,
Not Interested,I'm hungry buy smth home...,,,
Interested,\HEY KATE," HOPE UR OK... WILL GIVE U A BUZ WEDLUNCH. GO OUTSOMEWHERE 4 ADRINK IN TOWN..CUD GO 2WATERSHD 4 A BIT? PPL FROMWRK WILL BTHERE. LOVE PETEXXX.\""""",,
Not Interested,My drive can only be read. I need to write,,,
Interested,"Just looked it up and addie goes back Monday, sucks to be her",,,
Interested,Happy new year. Hope you are having a good semester,,,
Not Interested,Esplanade lor. Where else...,,,
More information,Can you talk with me..,,,
Not Interested,"Hmph. Go head, big baller.",,,
Interested,Well its not like you actually called someone a punto. That woulda been worse.,,,
Not Interested,"Nope. Since ayo travelled, he has forgotten his guy",,,
Interested,You still around? Looking to pick up later,,,
Not Interested,CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,,,
Interested,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,,,
Interested,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! ,,,
Not Interested,ILL B DOWN SOON,,,
More information,Oh k. . I will come tomorrow,,,
Not Interested,Go fool dont cheat others ok,,,
Interested,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar",,,
Not Interested,"By the way, 'rencontre' is to meet again. Mountains dont....",,,
Interested,You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712412 between 10am-7pm Cost 10p,,,
Not Interested,U attend ur driving lesson how many times a wk n which day?,,,
Interested,"Uncle G, just checking up on you. Do have a rewarding month",,,
Interested,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*,,,
Not Interested,I think the other two still need to get cash but we can def be ready by 9,,,
More information,Hey gals...U all wanna meet 4 dinner at nÌÂte? ,,,
Not Interested,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs,,,
Interested,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,,,
Not Interested,Great! How is the office today?,,,
Interested,"It's cool, we can last a little while. Getting more any time soon?",,,
Not Interested,:-( sad puppy noise,,,
Interested,Yes its possible but dint try. Pls dont tell to any one k,,,
Interested,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,,,
Not Interested,Where you. What happen,,,
More information,I was gonna ask you lol but i think its at 7,,,
Not Interested,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/meg. CC: 08718720201 HG/Suite342/2lands Row/W1j6HL,,,
Interested,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,,,
Not Interested,Go chase after her and run her over while she's crossing the street,,,
Interested,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate),,,
Not Interested,Is there coming friday is leave for pongal?do you get any news from your work place.,,,
Interested,Hey... Very inconvenient for your sis a not huh?,,,
Interested,Ok i vl..do u know i got adsense approved..,,,
Not Interested,"* Was really good to see you the other day dudette, been missing you!",,,
More information,I want to go to perumbavoor,,,
Not Interested,How many times i told in the stage all use to laugh. You not listen aha.,,,
Interested,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,,,
Not Interested,(You didn't hear it from me),,,
Interested,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,,,
Not Interested,Pls clarify back if an open return ticket that i have can be preponed for me to go back to kerala.,,,
Interested,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468,,,
Interested,She ran off with a younger man. we will make pretty babies together :),,,
Not Interested,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,,,
More information,O ic lol. Should play 9 doors sometime yo,,,
Not Interested,"Dunno, my dad said he coming home 2 bring us out 4 lunch. Yup i go w u lor. I call u when i reach school lor...",,,
Interested,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",,,
Not Interested,Desires- u going to doctor 4 liver. And get a bit stylish. Get ur hair managed. Thats it.,,,
Interested,Hmmm.still we dont have opener?,,,
Not Interested,Yeah so basically any time next week you can get away from your mom &amp; get up before 3,,,
Interested,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",GN,GE,"GNT:-)"""
Interested,I will vote for wherever my heart guides me,,,
Not Interested,With my sis lor... We juz watched italian job.,,,
More information,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ...",,,
Not Interested,Lmao you know me so well...,,,
Interested,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,,,
Not Interested,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,,,
Interested,Goodnight da thangam I really miss u dear.,,,
Not Interested,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,,,
Interested,"Geeeee ... Your internet is really bad today, eh ?",,,
Interested,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,,,
Not Interested,I think i am disturbing her da,,,
More information,"Sorry, I'll call you  later. I am in meeting sir.",,,
Not Interested,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?,,,
Interested,Ok i also wan 2 watch e 9 pm show...,,,
Not Interested,I dunno lei... Like dun haf...,,,
Interested,But your brother transfered only  &lt;#&gt;  +  &lt;#&gt; . Pa.,,,
Not Interested,I calls you later. Afternoon onwords mtnl service get problem in south mumbai. I can hear you but you cann't listen me.,,,
Interested,83039 62735=å£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,,,
Interested,Talk to g and x about that,,,
Not Interested,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju),,,
More information,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,,,
Not Interested,As in different styles?,,,
Interested,WIN a å£200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 å£1.50perweeksub.,,,
Not Interested,Gud ni8 dear..slp well..take care..swt dreams..Muah..,,,
Interested,I want to sent  &lt;#&gt; mesages today. Thats y. Sorry if i hurts,,,
Not Interested,"This is the 2nd attempt to contract U, you have won this weeks top prize of either å£1000 cash or å£200 prize. Just call 09066361921",,,
Interested,"Well, i'm glad you didn't find it totally disagreeable ... Lol",,,
Interested,"Guy, no flash me now. If you go call me, call me. How madam. Take care oh.",,,
Not Interested,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.,,,
More information,Mark works tomorrow. He gets out at 5. His work is by your house so he can meet u afterwards.,,,
Not Interested,\Keep ur problems in ur heart," b'coz nobody will fight for u. Only u &amp; u have to fight for ur self &amp; win the battle. -VIVEKANAND- G 9t.. SD..""",,
Interested,"Yeah, give me a call if you've got a minute",,,
Not Interested,\HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS åÐ FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,"IåÕL CALL U\""""",
Interested,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),,,
Not Interested,Aiya we discuss later lar... Pick Ì_ up at 4 is it?,,,
Interested,Hey happy birthday...,,,
Interested,Sorry i missed your call. Can you please call back.,,,
Not Interested,Omg if its not one thing its another. My cat has worms :/ when does this bad day end?,,,
More information,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",,,
Not Interested,I wont do anything de.,,,
Interested,What type of stuff do you sing?,,,
Not Interested,"St andre, virgil's cream",,,
Interested,No no. I will check all rooms befor activities,,,
Not Interested,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...",,,
Interested,Gokila is talking with you aha:),,,
Interested,"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",,,
Not Interested,K.k.this month kotees birthday know?,,,
More information,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,,,
Not Interested,Sorry about that this is my mates phone and i didnt write it love Kate,,,
Interested,"TheMob>Hit the link to get a premium Pink Panther game, the new no. 1 from Sugababes, a crazy Zebra animation or a badass Hoody wallpaper-all 4 FREE!",,,
Not Interested,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",,,
Interested,"Aight, call me once you're close",,,
Not Interested,Nope thats fine. I might have a nap tho! ,,,
Interested,This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,,,
Interested,In other news after hassling me to get him weed for a week andres has no money. HAUGHAIGHGTUJHYGUJ,,,
Not Interested,"A Boy loved a gal. He propsd bt she didnt mind. He gv lv lttrs, Bt her frnds threw thm. Again d boy decided 2 aproach d gal , dt time a truck was speeding towards d gal. Wn it was about 2 hit d girl,d boy ran like hell n saved her. She asked 'hw cn u run so fast?' D boy replied \Boost is d secret of my energy\"" n instantly d girl shouted \""our energy\"" n Thy lived happily 2gthr drinking boost evrydy Moral of d story:- I hv free msgs:D;): gud ni8""",,,
More information,I wnt to buy a BMW car urgently..its vry urgent.but hv a shortage of  &lt;#&gt; Lacs.there is no source to arng dis amt. &lt;#&gt; lacs..thats my prob,,,
Not Interested,Ding me on ya break fassyole! Blacko from londn,,,
Interested,I REALLY NEED 2 KISS U I MISS U MY BABY FROM UR BABY 4EVA,,,
Not Interested,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",,,
Interested,Oh you got many responsibilities.,,,
Not Interested,You have 1 new message. Please call 08715205273,,,
Interested,I've reached sch already...,,,
Interested,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update VCo FREE on 08002986906 ,,,
Not Interested,U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?,,,
More information,Argh why the fuck is nobody in town ;_;,,,
Not Interested,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply.",,,
Interested,Thanks. Fills me with complete calm and reassurance! ,,,
Not Interested,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....,,,
Interested,Are you driving or training?,,,
Not Interested,Lol for real. She told my dad I have cancer,,,
Interested,PRIVATE! Your 2003 Account Statement for 078,,,
Interested,"Oops I did have it,  &lt;#&gt; ?",,,
Not Interested,"\NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?\""""",,,
More information,"Hi Chikku, send some nice msgs",,,
Not Interested,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary",,,
Interested,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",,,
Not Interested,"To the wonderful Okors, have a great month. We cherish you guys and wish you well each day. MojiBiola",,,
Interested,Cuz ibored. And don wanna study,,,
Not Interested,Wot about on wed nite I am 3 then but only til 9!,,,
Interested,"Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....",,,
Interested,Any way where are you and what doing.,,,
Not Interested,That sucks. I'll go over so u can do my hair. You'll do it free right?,,,
More information,it's still not working. And this time i also tried adding zeros. That was the savings. The checking is  &lt;#&gt; ,,,
Not Interested,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep.",,,
Interested,Sday only joined.so training we started today:),,,
Not Interested,Sorry * was at the grocers.,,,
Interested,There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?,,,
Not Interested,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",,,
Interested,Yup... I havent been there before... You want to go for the yoga? I can call up to book ,,,
Interested,Oh shut it. Omg yesterday I had a dream that I had 2 kids both boys. I was so pissed. Not only about the kids but them being boys. I even told mark in my dream that he was changing diapers cause I'm not getting owed in the face.,,,
Not Interested,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,,,
More information,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,,,
Not Interested,Now that you have started dont stop. Just pray for more good ideas and anything i see that can help you guys i.ll forward you a link.,,,
Interested,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,,,
Not Interested,I'm in office now da:)where are you?,,,
Interested,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,,,
Not Interested,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,,,
Interested,Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,,,
Interested,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),,,
Not Interested,Pls call me da. What happen.,,,
More information,"Happy new year to u and ur family...may this new year bring happiness , stability and tranquility to ur vibrant colourful life:):)",,,
Not Interested,No problem with the renewal. I.ll do it right away but i dont know his details.,,,
Interested,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,,,
Not Interested,Haven't left yet so probably gonna be here til dinner,,,
Interested,"Like  &lt;#&gt; , same question",,,
Not Interested,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,,,
Interested,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",,,
Interested,K k:) sms chat with me.,,,
Not Interested,I will come with karnan car. Please wait till 6pm will directly goto doctor.,,,
More information,No but the bluray player can,,,
Not Interested,Ok... Then r we meeting later?,,,
Interested,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!,,,
Not Interested,Just send a text. We'll skype later.,,,
Interested,Ok leave no need to ask,,,
Not Interested,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",,,
Interested,ÌÏ still got lessons?  ÌÏ in sch?,,,
Interested,Y she dun believe leh? I tot i told her it's true already. I thk she muz c us tog then she believe.,,,
Not Interested,Oh did you charge camera,,,
More information,"I‰Û÷ve got some salt, you can rub it in my open wounds if you like!",,,
Not Interested,Now i'm going for lunch.,,,
Interested,I'm in school now n i'll be in da lab doing some stuff give me a call when Ì_ r done.,,,
Not Interested,Oh k. . I will come tomorrow,,,
Interested,"Aight, text me tonight and we'll see what's up",,,
Not Interested,U 2.,,,
Interested,Water logging in desert. Geoenvironmental implications.,,,
Interested,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,,,
Not Interested,Company is very good.environment is terrific and food is really nice:),,,
More information,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",,,
Not Interested,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,,,
Interested,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please ",,,
Not Interested,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",,,
Interested,K sure am in my relatives home. Sms me de. Pls:-),,,
Not Interested,I sent them. Do you like?,,,
Interested,"Fuuuuck I need to stop sleepin, sup",,,
Interested,I'm in town now so i'll jus take mrt down later.,,,
Not Interested,I just cooked a rather nice salmon a la you,,,
More information,I uploaded mine to Facebook,,,
Not Interested,WHAT TIME U WRKIN?,,,
Interested,Okie,,,
Not Interested,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,,,
Interested,Our records indicate u maybe entitled to 5000 pounds in compensation for the Accident you had. To claim 4 free reply with CLAIM to this msg. 2 stop txt STOP,,,
Not Interested,"Sorry, I'll call later",,,
Interested,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,,,
Interested,"It's wylie, you in tampa or sarasota?",,,
Not Interested,Ok... Take ur time n enjoy ur dinner...,,,
More information,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,,,
Not Interested,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",,,
Interested,I like cheap! But i‰Û÷m happy to splash out on the wine if it makes you feel better..,,,
Not Interested,She.s fine. I have had difficulties with her phone. It works with mine. Can you pls send her another friend request.,,,
Interested,Ugh my leg hurts. Musta overdid it on mon.,,,
Not Interested,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,,,
Interested,"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",,,
Interested,WOT STUDENT DISCOUNT CAN U GET ON BOOKS?,,,
Not Interested,Me fine..absolutly fine,,,
More information,How come she can get it? Should b quite diff to guess rite...,,,
Not Interested,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt,,,
Interested,I will reach ur home in  &lt;#&gt;  minutes,,,
Not Interested,"Babe, I'm answering you, can't you see me ? Maybe you'd better reboot YM ... I got the photo ... It's great !",,,
Interested,Hi.what you think about match?,,,
Not Interested,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",,,
Interested,Dai i downloaded but there is only exe file which i can only run that exe after installing.,,,
Interested,It is only yesterday true true.,,,
Not Interested,K.k.how is your business now?,,,
More information,3 pa but not selected.,,,
Not Interested,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,,,
Interested,I keep ten rs in my shelf:) buy two egg.,,,
Not Interested,I am late. I will be there at,,,
Interested,Well thats nice. Too bad i cant eat it,,,
Not Interested,I accidentally brought em home in the box,,,
Interested,Pls she needs to dat slowly or she will vomit more.,,,
Interested,I have to take exam with in march 3,,,
Not Interested,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",,,
More information,5 nights...We nt staying at port step liao...Too ex,,,
Not Interested,If I die I want u to have all my stuffs.,,,
Interested,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\""""",,,
Not Interested,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,
Interested,Prabha..i'm soryda..realy..frm heart i'm sory,,,
Not Interested,I re-met alex nichols from middle school and it turns out he's dealing!,,,
Interested,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,,,
Interested,It means u could not keep ur words.,,,
Not Interested,"Nope, I'm still in the market",,,
More information,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day,,,
Not Interested,YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,,,
Interested,Hey what how about your project. Started aha da.,,,
